Device Name,Vendor,Model,Card Name,IfName,IfOper,Speed,SFP_Type,ModuleClass,Splitter L1 Name,SFP_Mismatch,SFP_Missing
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/1,up,2488000000,XGS-PON,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,ANC01X00044,False,False
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/2,up,2488000000,XGS-PON,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,ANC01X0004A,False,False
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/3,up,2488000000,XGS-PON,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,ANC01X0004E,False,False
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/4,up,2488000000,XGS-PON,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,ANC01X0004K,False,False
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/5,up,2488000000,XGS-PON,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,ANC01X00179,False,False
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/6,up,2488000000,XGS-PON,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,ANC01X39R62,False,False
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/7,up,2488000000,XGS-PON,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,ANC01X3I2NT,False,False
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/8,up,2488000000,XGS-PON,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,ANC01X3GS44,False,False
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/9,up,2488000000,XGS-PON,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,ANC01X3MTW0,False,False
ANC01019G00,Fiberhome,AN6001-G16,GPOP,PON 1/1,up,2500000000,GPON,classbplus,ANC01X000E1,False,False
ANC01019G00,Fiberhome,AN6001-G16,GPOP,PON 1/2,up,2500000000,GPON,classbplus,ANC01X000E8,False,False
ANC01019G00,Fiberhome,AN6001-G16,GPOP,PON 1/3,up,2500000000,GPON,classbplus,ANC01X000EF,False,False
ANC01019G00,Fiberhome,AN6001-G16,GPOP,PON 1/4,up,2500000000,GPON,classbplus,ANC01X3AR51,False,False
ANC01019G00,Fiberhome,AN6001-G16,GPOP,PON 1/5,up,2500000000,GPON,classbplus,ANC01X3AR5A,False,False
ANC01019G00,Fiberhome,AN6001-G16,GPOP,PON 1/6,up,2500000000,GPON,classbplus,ANC01X1QRT1,False,False
ANC01019G00,Fiberhome,AN6001-G16,GPOP,PON 1/7,up,2500000000,GPON,classbplus,ANC01X1QRK1,False,False
ANC01019G00,Fiberhome,AN6001-G16,GPOP,PON 1/8,up,2500000000,GPON,classbplus,ANC01X1QRM1,False,False
ANC01024G00,Fiberhome,AN6001-G16,GPOP,PON 1/1,up,2500000000,GPON,classbplus,YST05X0008Y,False,False
ANC01024G00,Fiberhome,AN6001-G16,GPOP,PON 1/3,up,2500000000,GPON,classbplus,YST05X0009B,False,False
ANC01024G00,Fiberhome,AN6001-G16,GPOP,PON 1/4,up,2500000000,GPON,classbplus,YST05X38GTH,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/0,up,2488000000,GPON,GPON/CLASS C++,ANC01X000JF,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/1,up,2488000000,GPON,GPON/CLASS B+,ANC01X000JK,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/10,up,2488000000,GPON,GPON/CLASS B+,ANC01X000L7,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/11,up,2488000000,GPON,GPON/CLASS B+,ANC01X000LB,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/12,up,2488000000,GPON,GPON/CLASS B+,ANC01X000LG,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/13,up,2488000000,GPON,GPON/CLASS B+,ANC01X000LL,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/14,up,2488000000,GPON,GPON/CLASS B+,ANC01X000LQ,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/15,up,2488000000,GPON,GPON/CLASS B+,ANC01X000LY,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/2,up,2488000000,GPON,GPON/CLASS B+,ANC01X000JP,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/3,up,2488000000,GPON,GPON/CLASS B+,ANC01X000JU,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/4,up,2488000000,GPON,GPON/CLASS B+,ANC01X000JZ,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/5,up,2488000000,GPON,GPON/CLASS B+,ANC01X000K8,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/6,up,2488000000,GPON,GPON/CLASS B+,ANC01X000KG,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/7,up,2488000000,GPON,GPON/CLASS B+,ANC01X000KK,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/8,up,2488000000,GPON,GPON/CLASS B+,ANC01X000KS,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/9,up,2488000000,GPON,GPON/CLASS B+,ANC01X000KZ,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/0,up,2488000000,GPON,GPON/CLASS B+,ANC01X000M8,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/1,up,2488000000,GPON,GPON/CLASS B+,ANC01X000MD,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/10,up,2488000000,GPON,GPON/CLASS B+,ANC01X000V6,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/11,up,2488000000,GPON,GPON/CLASS B+,ANC01X0014U,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/12,up,2488000000,GPON,GPON/CLASS B+,ANC01X0015H,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/13,up,2488000000,GPON,GPON/CLASS B+,ANC01X0015L,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/14,up,2488000000,GPON,GPON/CLASS B+,ANC01X00165,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/15,up,2488000000,GPON,GPON/CLASS B+,ANC01X0015Y,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/2,up,2488000000,GPON,GPON/CLASS B+,ANC01X000MI,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/3,up,2488000000,GPON,GPON/CLASS B+,ANC01X000MQ,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/4,up,2488000000,GPON,GPON/CLASS B+,ANC01X000MX,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/5,up,2488000000,GPON,GPON/CLASS B+,ANC01X000N8,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/6,up,2488000000,GPON,GPON/CLASS B+,ANC01X000NP,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/7,up,2488000000,GPON,GPON/CLASS B+,ANC01X000NS,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/8,up,2488000000,GPON,GPON/CLASS B+,ANC01X000VE,False,False
ANC01025GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/9,up,2488000000,GPON,GPON/CLASS B+,ANC01X000NY,False,False
ANC01026GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/0,up,2488000000,GPON,GPON/CLASS B+,ANC01X000YS,False,False
ANC01026GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/1,up,2488000000,GPON,GPON/CLASS B+,ANC01X000YJ,False,False
ANC01026GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/10,up,2488000000,GPON,GPON/CLASS B+,ANC01X0010W,False,False
ANC01026GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/11,up,2488000000,GPON,GPON/CLASS B+,ANC01X000ZP,False,False
ANC01026GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/12,up,2488000000,GPON,GPON/CLASS B+,ANC01X0011H,False,False
ANC01026GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/13,up,2488000000,GPON,GPON/CLASS B+,ANC01X0011Q,False,False
ANC01026GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/1/14,up,2488000000,GPON,GPON/CLASS B+,ANC01X000ZG,False,False
