Device Name,Vendor,Model,Card Name,IfName,IfOper,Speed,ModuleClass,Splitter L1 Name,Weekly_Status,Notes
ANC03012G00,Fiberhome,AN6001-G16,GPOP,PON 1/1,up,2.4,nan,ANC03X000DD,Persistent Missing,Missing in both weeks
AYT01024GO0,Fiberhome,AN5516-04,GC8B,PON 1/8,up,2.4,nan,AYT01X39EOL,Persistent Missing,Missing in both weeks
AYT06011GO0,Fiberhome,AN6000-2,GPOA,PON 2/9,up,2.4,nan,AYT06X2ZVCY,Persistent Missing,Missing in both weeks
AYT12014GO0,Fiberhome,AN5516-04,GC8B,PON 1/8,up,2.4,nan,AYT12X2S01B,Persistent Missing,Missing in both weeks
BKIRYG1CGW0,Huawei,MA5603T,H805GPBD,GPON 0/0/3,notPresent,2.4,absent,BKIRYG-01/G003-O,Persistent Missing,Missing in both weeks
BKK02001G00,ZTE,C300,GTGHG,gpon_1/15/7,down,2.4,absent,BKK02X1TOTP,Persistent Missing,Missing in both weeks
BKK02002GO0,Fiberhome,AN5516-04,GC8B,PON 2/4,up,2.4,nan,BKK02X2MAF5,Persistent Missing,Missing in both weeks
BKK02002GO0,Fiberhome,AN5516-04,GC8B,PON 2/6,up,2.4,nan,BKK02X2MAG1,Persistent Missing,Missing in both weeks
BKK02004GO0,Fiberhome,AN5516-04,GC8B,PON 1/7,up,2.4,nan,BKK02X2M55A,Persistent Missing,Missing in both weeks
BKK04001G01,Huawei,MA5800-X17,H901GPHF,GPON 0/11/1,notPresent,2.4,absent,BKK04X1H980,Persistent Missing,Missing in both weeks
BKK04001G01,Huawei,MA5800-X17,H901GPHF,GPON 0/11/5,notPresent,2.4,absent,BKK04X1H8ND,Persistent Missing,Missing in both weeks
BKK04001G01,Huawei,MA5800-X17,H901GPHF,GPON 0/12/14,notPresent,2.4,absent,BKK07X3P19B,Persistent Missing,Missing in both weeks
BKK04001G01,Huawei,MA5800-X17,H901CSHF,GPON 0/18/7,notPresent,2.4,absent,SRW-09-01/G001-I,Persistent Missing,Missing in both weeks
BKK04001G01,Huawei,MA5800-X17,H901GPHF,GPON 0/3/15,notPresent,2.4,absent,BKK04X1IXOG,Persistent Missing,Missing in both weeks
BKK04001G01,Huawei,MA5800-X17,H901GPHF,GPON 0/3/5,notPresent,2.4,absent,BKK04X1IXMX,Persistent Missing,Missing in both weeks
BKK04019GO0,Fiberhome,AN5516-04,GOOB,PON 2/12,up,2.4,nan,BKK04X3SQRA,New Missing,Newly detected missing this week
BKK04019GO0,Fiberhome,AN5516-04,GOOB,PON 2/7,down,2.4,absent,BKK04X3J8HD,Persistent Missing,Missing in both weeks
BKK07001GO0,Fiberhome,AN5516-04,GOOB,PON 1/7,up,2.4,nan,BKK07X2MW0H,Persistent Missing,Missing in both weeks
BKK07001GO0,Fiberhome,AN5516-04,GOOB,PON 2/11,up,2.4,nan,BKK07X3T4ES,Persistent Missing,Missing in both weeks
BKK08001G02,Huawei,MA5800-X17,H901GPHF,GPON 0/7/1,notPresent,2.4,absent,BKK13X1L3W7,Persistent Missing,Missing in both weeks
BKK09010GO0,Fiberhome,AN5516-04,GC8B,PON 2/7,up,2.4,nan,BKK09X33MO4,Persistent Missing,Missing in both weeks
BKK09012GO0,Fiberhome,AN5516-04,GC8B,PON 1/1,up,2.4,nan,BKK09X2HZF7,Persistent Missing,Missing in both weeks
BKK12001G00,Huawei,MA5800-X17,H901GPHF,GPON 0/1/8,notPresent,2.4,absent,BKK12X0400O,Persistent Missing,Missing in both weeks
BKK17001G00,ZTE,C300,GTGHG,gpon_1/7/16,down,2.4,absent,BKK26X0705A,Persistent Missing,Missing in both weeks
BKK17001G00,ZTE,C300,GTGHG,gpon_1/8/2,down,2.4,absent,BKK26X0705I,Persistent Missing,Missing in both weeks
BKK17001G01,ZTE,C300,GTGHG,gpon_1/12/8,down,2.4,absent,BKK26X1EU31,Persistent Missing,Missing in both weeks
BKK17001G02,ZTE,C300,GTGHG,gpon_1/4/4,down,2.4,absent,BKK17X1Z1KR,Persistent Missing,Missing in both weeks
BKK17001G02,ZTE,C300,GTGHG,gpon_1/4/5,down,2.4,absent,BKK17X1Z5FH,Persistent Missing,Missing in both weeks
BKK17001G02,ZTE,C300,GTGHG,gpon_1/6/10,down,2.4,absent,BKK17X2CBVC,Persistent Missing,Missing in both weeks
BKK17003GO0,ZTE,C320,GTGHG,gpon_1/2/4,down,2.4,absent,BKK17X3P3NA,Persistent Missing,Missing in both weeks
BKK17017GO0,Fiberhome,AN5516-04,GOOB,PON 1/16,up,2.4,nan,BKK17X2J54H,Persistent Missing,Missing in both weeks
BKK17021GO0,Fiberhome,AN5516-04,GOOB,PON 2/8,up,2.4,nan,BKK17X37JC5,Persistent Missing,Missing in both weeks
BKK17025GO0,Fiberhome,AN6000-2,GPOA,PON 1/3,up,2.4,nan,BKK17X3FVIT,Persistent Missing,Missing in both weeks
BKK17025GO0,Fiberhome,AN6000-2,GPOA,PON 2/3,up,2.4,nan,BKK17X3MR5A,Persistent Missing,Missing in both weeks
BKK21001G01,Huawei,MA5800-X17,H901GPHF,GPON 0/15/12,notPresent,2.4,absent,BKK35X1EKKR,Persistent Missing,Missing in both weeks
BKK26AGNG03,Huawei,MA5800-X17,H901GPHF,GPON 0/11/11,notPresent,2.4,absent,BKK37X1Z406,Persistent Missing,Missing in both weeks
BKK26AGNG03,Huawei,MA5800-X17,H901GPHF,GPON 0/1/7,notPresent,2.4,absent,BKK14X1MO9J,Persistent Missing,Missing in both weeks
BKK26AGNG03,Huawei,MA5800-X17,H901GPHF,GPON 0/5/15,notPresent,2.4,absent,BKK17X1NW3D,Persistent Missing,Missing in both weeks
BKK28002G01,Huawei,MA5800-X17,H901GPHF,GPON 0/12/12,notPresent,2.4,absent,BKK28X1QFBU,Persistent Missing,Missing in both weeks
BKK28025GO0,Fiberhome,AN5516-04,GC8B,PON 1/5,up,2.4,nan,BKK28X2MM10,Persistent Missing,Missing in both weeks
BKK28032GO0,Huawei,MA5800-X2,H905FLHF,GPON 0/1/12,notPresent,2.4,absent,BKK28X03019,Persistent Missing,Missing in both weeks
BKK29007GO0,Fiberhome,AN5516-04,GC8B,PON 2/6,up,2.4,nan,BKK29X2MF8J,Persistent Missing,Missing in both weeks
BKK29007GO0,Fiberhome,AN5516-04,GC8B,PON 2/7,up,2.4,nan,BKK30X2QIK0,Persistent Missing,Missing in both weeks
BKK29007GO0,Fiberhome,AN5516-04,GC8B,PON 2/8,up,2.4,nan,BKK29X31H94,Persistent Missing,Missing in both weeks
BKK29011GO0,Fiberhome,AN5516-04,GC8B,PON 2/1,up,2.4,nan,BKK29X2IMGE,Persistent Missing,Missing in both weeks
BKK30001G00,ZTE,C300,GTGHG,gpon_1/12/7,down,2.4,absent,BKK30X1KNLX,Persistent Missing,Missing in both weeks
BKK30001G00,ZTE,C300,GTGHG,gpon_1/7/3,down,2.4,absent,BKK30X1F24L,Persistent Missing,Missing in both weeks
BKK30005GO0,Fiberhome,AN5516-04,GC8B,PON 1/8,up,2.4,nan,BKK30X2QUQS,Persistent Missing,Missing in both weeks
BKK30005GO0,Fiberhome,AN5516-04,GC8B,PON 2/2,up,2.4,nan,BKK30X3D3CF,Persistent Missing,Missing in both weeks
BKK30009GO0,Fiberhome,AN5516-04,GC8B,PON 1/3,up,2.4,nan,BKK30X2HH09,Persistent Missing,Missing in both weeks
BKK30013GO0,Fiberhome,AN5516-04,GOOB,PON 1/13,up,2.4,nan,BKK30X2KHAM,Persistent Missing,Missing in both weeks
BKK30014GO0,Fiberhome,AN5516-04,GOOB,PON 1/6,down,2.4,absent,BKK30X2KKH6,Persistent Missing,Missing in both weeks
BKK30014GO0,Fiberhome,AN5516-04,GOOB,PON 2/15,up,2.4,nan,BKK30X37YLB,Persistent Missing,Missing in both weeks
BKK30014GO0,Fiberhome,AN5516-04,GOOB,PON 2/16,up,2.4,nan,BKK30X3AH18,Persistent Missing,Missing in both weeks
BKK30023GO0,Fiberhome,AN5516-04,GOOB,PON 2/8,up,2.4,nan,BKK30X2MTQC,Persistent Missing,Missing in both weeks
BKK30AGNG00,ZTE,C300,GTGHG,gpon_1/14/4,down,2.4,absent,BKK30X0005M,Persistent Missing,Missing in both weeks
BKK31001G01,Huawei,MA5800-X17,H902GPHF,GPON 0/7/4,notPresent,2.4,absent,BKK31X3769O,Persistent Missing,Missing in both weeks
BKK31001G01,Huawei,MA5800-X17,H901GPHF,GPON 0/8/14,notPresent,2.4,absent,BKK31X3T4ED,Persistent Missing,Missing in both weeks
BKK33001G00,Huawei,MA5800-X17,H901GPHF,GPON 0/1/10,notPresent,2.4,absent,BKK33X08019,Persistent Missing,Missing in both weeks
BKK33001G00,Huawei,MA5800-X17,H901GPHF,GPON 0/13/10,notPresent,2.4,absent,BKK33X1NY7C,Persistent Missing,Missing in both weeks
BKK33001G00,Huawei,MA5800-X17,H901GPHF,GPON 0/1/9,notPresent,2.4,absent,BKK33X08014,Persistent Missing,Missing in both weeks
BKK33001G01,Huawei,MA5800-X17,H901GPHF,GPON 0/5/15,notPresent,2.4,absent,SKW-02-01/G020-O,Persistent Missing,Missing in both weeks
BKK33001G06,ZTE,C620,HFTL,gpon_olt-1/2/7,down,10,absent,BKK39X3P3QA,Persistent Missing,Missing in both weeks
BKK33002G00,Huawei,MA5800-X17,H901CSHF,GPON 0/11/9,notPresent,2.4,absent,BKK07X0305I,Persistent Missing,Missing in both weeks
BKK33002G00,Huawei,MA5800-X17,H901GPHF,GPON 0/16/5,notPresent,2.4,absent,BKK33X1QGQD,Persistent Missing,Missing in both weeks
BKK33002G02,Huawei,MA5800-X17,H901CSHF,GPON 0/4/11,notPresent,2.4,absent,PNC-25-01/G009-I,Persistent Missing,Missing in both weeks
BKK33002G02,Huawei,MA5800-X17,H901CSHF,GPON 0/4/4,notPresent,2.4,absent,PNC-25-01/G001-O,Persistent Missing,Missing in both weeks
BKK33002G02,Huawei,MA5800-X17,H901GPHF,GPON 0/8/2,notPresent,2.4,absent,BKK07X23382,Persistent Missing,Missing in both weeks
BKK33006GO0,Huawei,MA5800-X2,H901GPHF,GPON 0/2/0,notPresent,2.4,absent,BKK33X1XSXX,Persistent Missing,Missing in both weeks
BKK33009GO0,Fiberhome,AN5516-04,GOOB,PON 1/16,down,2.4,absent,BKK33X2KRZI,Persistent Missing,Missing in both weeks
BKK33014GO0,Fiberhome,AN5516-04,GOOB,PON 1/6,down,2.4,absent,BKK33X3EON2,Persistent Missing,Missing in both weeks
BKK33015GO0,Fiberhome,AN5516-04,GOOB,PON 2/9,down,2.4,absent,BKK33X3PALG,New Missing,Newly detected missing this week
BKK33017GO0,Fiberhome,AN6000-2,GPOA,PON 1/5,up,2.4,nan,BKK33X3TTT0,Persistent Missing,Missing in both weeks
BKK35002G00,Huawei,MA5800-X17,H901GPHF,GPON 0/18/2,notPresent,2.4,absent,BKK35X0A00J,Persistent Missing,Missing in both weeks
BKK37001G00,Huawei,MA5800-X17,H901GPHF,GPON 0/1/1,notPresent,2.4,absent,BKK37X03006,Persistent Missing,Missing in both weeks
