Device Name,Vendor,Model,Card Name,IfName,Splitter L1 Name,ModuleClass,VendorPN,XGS_Status
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/1,ANC01X00044,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,Z04042000-6220,Ready (XGS SFP Inserted)
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/2,ANC01X0004A,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,Z04042000-6220,Ready (XGS SFP Inserted)
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/3,ANC01X0004E,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,Z04042000-6220,Ready (XGS SFP Inserted)
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/4,ANC01X0004K,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,Z04042000-6220,Ready (XGS SFP Inserted)
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/5,ANC01X00179,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,Z04042000-6220,Ready (XGS SFP Inserted)
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/6,ANC01X39R62,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,Z04042000-6220,Ready (XGS SFP Inserted)
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/7,ANC01X3I2NT,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,Z04042000-6220,Ready (XGS SFP Inserted)
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/8,ANC01X3GS44,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,Z04042000-6220,Ready (XGS SFP Inserted)
ANC01012G00,ZTE,C610,XGS-PON (Built-in),gpon_olt-1/3/9,ANC01X3MTW0,GPON&XGS-PON_COMBO/MPM_C+/EC++C+,Z04042000-6220,Ready (XGS SFP Inserted)
ANC02010GO0,Fiberhome,AN6001-GF16,XGS-PON (Built-in),PON 1/1,ANC02X1UCL0,Combo C+,LTF5308B-BCB+,Ready (XGS SFP Inserted)
ATG01013GO0,Huawei,MA5801-FL16,XGS-PON (Built-in),GPON 0/1/0,ATG01X2QVRP,Combo C+,,Ready (XGS SFP Inserted)
ATG01013GO0,Huawei,MA5801-FL16,XGS-PON (Built-in),GPON 0/1/1,ATG01X000CQ,Combo C+,,Ready (XGS SFP Inserted)
ATG01013GO0,Huawei,MA5801-FL16,XGS-PON (Built-in),GPON 0/1/2,ATG01X000CV,Combo C+,,Ready (XGS SFP Inserted)
